模块,功能点,功能描述,页面,API接口,依赖,预估工时(小时),主要技术路线,复用程度,风险等级,优先级
用户认证模块,微信登录,微信小程序授权登录,pages/index/login,weixinMiniAuthenticate,uni.login,16,集成微信 OpenSDK,处理授权流程,0%,🔴 高风险,P0
用户认证模块,手机号登录,手机号授权登录,pages/index/login,phoneAuth,uni.login,8,集成平台授权 SDK,50%,🔴 高风险,P0
用户认证模块,账号密码登录,传统账号密码登录,pages/index/login,authenticate,-,2,HTTP 接口,逻辑简单,100%,🟢 低风险,P0
用户认证模块,登录状态管理,管理用户登录状态,pages/index/my,-,Pinia,0,Pinia 状态可复用,100%,🟢 低风险,P0
用户认证模块,-,小计,-,-,-,26,-,-,-
拍卖系统模块,拍卖品列表,显示待拍卖和已成交列表,pages/chat/auction,auctionItem.getPublicList,WebSocket,0,列表展示 + API 调用,100%,🟢 低风险,P1
拍卖系统模块,拍卖品详情,显示拍卖品详细信息,pages/chat/auction,auctionItem.getDetail,-,0,详情展示,100%,🟢 低风险,P1
拍卖系统模块,出价,用户参与拍卖出价,pages/chat/auction,auctionItem.bid,WebSocket,0,业务逻辑复杂,需校验出价规则,100%,🟡 中风险,P1
拍卖系统模块,拍卖聊天室,拍卖期间的实时聊天,pages/chat/auction,ws.sendChannelMsg,WebSocket,2,UniApp WebSocket API,微调即可,95%,🟡 中风险,P1
拍卖系统模块,拍卖订阅,订阅拍卖开始通知,pages/chat/auction,auctionItem.subStartNotify,uni.requestSubscribeMessage,8,订阅消息 → Push Notification,20%,🔴 高风险,P1
拍卖系统模块,卡秒模式,拍卖师开启卡秒模式,pages/chat/auction,auctionItem.getKasecStatus,WebSocket,0,状态管理逻辑,100%,🟡 中风险,P1
拍卖系统模块,拍卖历史,查看拍卖成功记录,pages/user/auctionSuccessList,auctionItem.getMySuccessList,-,0,列表展示,100%,🟢 低风险,P2
拍卖系统模块,拍卖中间人,查看拍卖中间人列表,pages/chat/auction,auctionItem.getAuctionMidList,-,0,列表展示,100%,🟢 低风险,P2
拍卖系统模块,-,小计,-,-,-,10,-,-,-
聊天系统模块,WebSocket 连接,建立 WebSocket 连接,pages/chat/*,ws.preConnect,wx.connectSocket,2,UniApp WebSocket API,95%,🔴 高风险,P1
聊天系统模块,私聊,一对一聊天,pages/chat/privateChat,ws.sendMsg,WebSocket,0,UI + 逻辑,100%,🟡 中风险,P1
聊天系统模块,群聊,多人群组聊天,pages/chat/groupChat,ws.sendChannelMsg,WebSocket,0,频道管理逻辑复杂,100%,🟡 中风险,P1
