功能模块,任务ID,任务名称,任务描述,平台,实现技术方案,优先级,状态,负责模块,预计工时,依赖任务,备注,
规划,APP-001,技术选型评估,评估 UniApp vs Flutter vs React Native 的迁移方案，确定最终技术栈,全平台,对比分析：代码复用率、开发周期、性能、维护成本，最终选择 Flutter 跨平台开发,高,完成,规划,2天,,已完成：选择 Flutter 跨平台开发,
分析,APP-002,项目架构分析,分析 molitao_uniapp 模块的完整技术栈和架构,全平台,分析技术栈（UniApp 3.0、Vue 3、TypeScript、Pinia）、识别 wx.* API 调用（18处）、评估迁移复杂度,高,完成,分析,2天,APP-001,已完成：识别18处 wx.* API 调用,
准备,APP-003,微信开放平台配置,在微信开放平台创建移动应用，获取 AppID 和 AppSecret,全平台,1. 登录微信开放平台创建移动应用 2. 填写应用信息（名称、包名、签名、Bundle ID）3. 绑定小程序和移动应用（关键）4. 获取 AppID 和 AppSecret,高,待开始,准备,1天,,关键任务：绑定小程序和移动应用，获取 unionid,
准备,APP-003-1,支付宝开放平台配置,在支付宝开放平台创建应用，获取 AppID 和 AppSecret,全平台,1. 登录支付宝开放平台 2. 创建应用 3. 获取 AppID 和 AppSecret 4. 配置商户号、API 密钥,高,待开始,准备,1天,,关键任务：支持支付宝支付,
准备,APP-004,短信服务配置,配置短信服务（阿里云短信、腾讯云短信等）,全平台,1. 选择短信服务提供商 2. 注册应用 3. 获取 AppID 和 AppSecret 4. 配置短信模板（验证码）5. 配置签名,高,待开始,准备,1天,,关键任务：支持手机号验证码登录,
环境搭建,APP-005,Flutter 开发环境搭建,搭建 Flutter 开发环境（Android + iOS）,全平台,1. 安装 Flutter SDK 3.24+ 2. 配置 Android Studio 3. 配置 XCode 4. 配置开发工具（VS Code、Flutter DevTools）5. 真机连接测试,高,待开始,准备,1天,,Flutter 开发环境,
环境搭建,APP-006,PWA 开发环境搭建,搭建 UniApp H5 开发环境,全平台,1. 安装 HBuilderX 2. 配置 Node.js 3. 配置 Vue 3 项目 4. 配置 Service Worker 5. 配置 Web App Manifest,中,待开始,准备,1天,APP-004,PWA 开发环境,
登录,APP-007,后端：添加常量定义,添加 WeChatAppOpenid、WechatApp、ProjectApp.app 等常量,全平台,在 Consts.LoginProvider 添加 WeChatAppOpenid，在 Consts.FromClient 添加 WechatApp，在 Consts.ProjectApp 添加 app,高,待开始,后端,0.5天,APP-003,,
登录,APP-008,后端：添加 DTO 类,创建 WeChatAppAuthenticateModel 数据传输对象,全平台,创建 WeChatAppAuthenticateModel 类，包含 code 属性，序列化为 JSON 传递给后端,高,待开始,后端,0.5天,APP-007,,
登录,APP-009,后端：扩展 IWeixinApi,添加 AppOAuth2AccessToken 和 AppGetUserInfo 方法,全平台,1. 添加 AppOAuth2AccessToken 方法：调用微信 OAuth2.0 接口获取 access_token 2. 添加 AppGetUserInfo 方法：调用微信接口获取用户信息 3. 添加对应的 DTO 类,高,待开始,后端,1天,APP-007,,
登录,APP-010,后端：实现 WechatAppOpenidProviderApi,创建 APP 微信登录 Provider，实现 unionid 获取逻辑,全平台,1. 继承 ExternalAuthProviderApi 2. 实现 GetUserInfo 方法 3. 调用 AppOAuth2AccessToken 获取 access_token 4. 调用 AppGetUserInfo 获取用户信息（包含 unionid）5. 返回 ExternalAuthUserInfo（使用 unionid 作为主标识）,高,待开始,后端,1天,APP-009,,
登录,APP-011,后端：添加 WeixinAppAuthenticate 接口,在 TokenAuthController 添加 APP 微信登录接口,全平台,1. 添加 [HttpPost] WeixinAppAuthenticate 接口 2. 获取 app 配置（appid、appsec）3. 调用 ExternalAuthManager.GetUserInfo 4. 调用 ExternalLogin 处理登录逻辑 5. 返回 ExternalAuthenticateResultModel（包含 accessToken、unionid）,高,待开始,后端,0.5天,APP-010,,
登录,APP-012,后端：配置 app settings,添加 app 的 appid 和 appsec 配置,全平台,在 appsettings.json 的 Apps 节点添加 app 配置，包含 appid 和 appsec,高,待开始,后端,0.5天,APP-003,,
登录,APP-013,后端：添加短信服务集成,集成短信服务 SDK，实现验证码发送功能,全平台,1. 安装短信服务 SDK（阿里云/腾讯云）2. 实现发送验证码接口 3. 实现验证码验证接口 4. 实现验证码缓存（5分钟有效）,高,待开始,后端,1天,APP-004,,
登录,APP-014,后端：手机号验证码登录接口,实现手机号验证码登录接口,全平台,1. 创建 PhoneAuthenticateController 2. 实现发送验证码接口（SendVerificationCode） 3. 实现验证码登录接口（PhoneAuthenticate） 4. 验证验证码（缓存验证）5. 查找或创建用户 6. 生成 JWT Token,高,待开始,后端,1天,APP-013,,
登录,APP-015,后端：手机号+密码登录接口,实现手机号+密码登录接口,全平台,1. 创建 PhonePasswordAuthenticateController 2. 实现登录接口（PhonePasswordAuthenticate） 3. 验证用户密码 4. 生成 JWT Token,高,待开始,后端,0.5天,APP-013,,
登录,APP-016,后端：支付宝 SDK 集成,集成支付宝支付 SDK（Java 或原生）,全平台,1. 安装支付宝 SDK 2. 配置商户号、API 密钥、证书 3. 实现统一下单接口（GetAlipayOrder） 4. 实现支付宝异步通知接口（AlipayNotify） 5. 验证支付宝签名,高,待开始,后端,2天,APP-003-1,,
