任务ID,阶段,模块,功能点,任务描述,工时(小时),优先级,依赖任务,交付物,备注
P1-001,Phase 1,后端开发,数据库设计,设计MemberSubscriptions会员表结构，包含用户ID、会员状态、起止时间、支付方式等字段,2,P0,,SQL脚本,需支持自动续期逻辑
P1-002,Phase 1,后端开发,会员查询API,开发GET /api/member/status接口，返回用户当前会员状态和到期时间,2,P0,P1-001,接口文档,需缓存优化
P1-003,Phase 1,后端开发,支付订单创建,开发POST /api/payment/create接口，创建预支付订单并返回支付宝参数,4,P0,P1-001,接口文档,需幂等性处理
P1-004,Phase 1,后端开发,支付回调处理,开发POST /api/payment/notify接口，处理支付宝异步通知并开通会员,3,P0,P1-003,接口文档,需防重复通知
P1-005,Phase 1,后端开发,版本检查API,开发GET /api/app-version/latest接口，返回最新APK版本信息,2,P1,,接口文档,支持强制更新标记
P1-006,Phase 1,前端通用,支付适配层,封装统一支付接口paymentAdapter.ts，支持Android SDK和H5支付,4,P0,P1-003,TypeScript文件,条件编译区分平台
P1-007,Phase 1,前端通用,会员配置,创建memberConfig.ts配置文件，定义51元/365天会员规则,1,P0,,配置文件,方便后续调整价格
P1-008,Phase 2,Android开发,会员购买页面,开发pages/member/buy.vue会员购买页，展示权益和价格,4,P0,P1-006,Vue页面,需适配App样式
P1-009,Phase 2,Android开发,支付宝SDK集成,集成支付宝App支付SDK，调起支付宝客户端支付,4,P0,P1-006,支付功能,需测试各种异常情况
P1-010,Phase 2,Android开发,支付结果处理,处理支付成功/失败回调，更新用户会员状态,2,P0,P1-009,支付流程,含重试机制
P1-011,Phase 2,Android开发,拍卖权限改造,改造pages/chat/auction.vue出价校验，从魔力值改为会员状态校验,3,P0,P1-008,拍卖功能,需兼容老用户
P1-012,Phase 2,Android开发,出价引导优化,非会员出价时弹出引导购买会员弹窗,2,P1,P1-011,交互优化,提升转化率
P1-013,Phase 2,Android开发,自动更新检测,开发utils/appUpdater.ts版本检查逻辑，启动时检测最新版本,2,P1,P1-005,更新模块,24小时检查一次
P1-014,Phase 2,Android开发,自动更新下载,实现APK下载进度显示和自动安装功能,4,P1,P1-013,更新模块,需断点续传
